t,L,R
1764812223.9758,64,86
1764812224.0019197,64,94
1764812224.0279665,63,125
1764812224.0540893,63,127
1764812224.0800722,64,99
1764812224.1062024,63,126
1764812224.1324053,64,98
1764812224.1585293,63,125
1764812224.1846082,64,99
1764812224.2106893,63,125
1764812224.2368069,63,127
1764812224.2629828,63,128
1764812224.289088,63,129
1764812224.315227,63,128
1764812224.3413737,63,127
1764812224.367493,63,130
1764812224.39359,63,128
1764812224.4197068,64,99
1764812224.445809,63,124
1764812224.4720936,63,129
1764812224.4982367,63,129
1764812224.524487,63,128
1764812224.550695,64,99
1764812224.576828,64,95
1764812224.6029882,63,124
1764812224.6291015,63,127
1764812224.6552167,63,127
1764812224.6813233,63,128
1764812224.7074738,63,128
1764812224.7336063,63,130
1764812224.7599351,63,129
1764812224.7862914,63,128
1764812224.8125563,63,128
1764812224.8388684,63,129
1764812224.8655715,64,99
1764812224.891702,64,95
1764812224.9177015,63,125
1764812224.9437268,63,128
1764812224.9698176,63,129
1764812224.9957979,64,99
