t,L,R
1764812286.0842934,132,134
1764812286.110597,132,145
1764812286.1367989,132,146
1764812286.1630142,132,147
1764812286.1891015,132,147
1764812286.215195,131,145
1764812286.241353,132,146
1764812286.2674763,131,146
1764812286.2935874,132,146
1764812286.319714,131,145
1764812286.345837,131,144
1764812286.3719404,131,145
1764812286.3980432,131,145
1764812286.4241447,131,145
1764812286.450294,131,145
1764812286.476398,131,144
1764812286.5025063,131,145
1764812286.5286098,131,144
1764812286.5549805,131,145
1764812286.581092,131,144
1764812286.607208,131,144
1764812286.6333263,131,145
1764812286.6594956,131,144
1764812286.6855938,131,145
1764812286.7117035,131,144
1764812286.7379913,131,145
1764812286.7641568,131,145
1764812286.7902532,130,142
1764812286.8163652,130,142
1764812286.8424888,130,142
1764812286.8686407,129,139
1764812286.8947525,130,141
1764812286.9208634,130,142
1764812286.9469683,130,141
1764812286.9730968,129,139
1764812286.9991934,129,139
1764812287.0253007,129,139
1764812287.0515869,129,139
1764812287.0778446,129,139
1764812287.104127,129,139
